ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
00-11,30/12/99 21:32:18,https://twitter.com/iskonglasalista/status/1215233296881180672,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-01-31 since:2020-01-05,@iskonglasalista,Benedict Exconde,Agricultural Economist. University Lecturer. Communicator. Commentator. Dog parent to Jingle.,Identified,04/09,2568,6097,Singapore,Ninoy Aquino co-founded the CPP-NPA-NDF along with Joma Sison and Kumander Dante. They formed the group inside Luisita. Cory served them coffee during meetings at the Aquinos' Time St. home.,Ninoy Aquino co-founded the CPP-NPA-NDF along with Joma Sison and Kumander Dante. They formed the group inside Luisita. Cory served them coffee during meetings at the Aquinos' Time St. home.,Quote Retweet,"Jan 9, 2020",,Rational,5,,2,2,,,,,,
00-12,30/12/99 21:32:43,https://twitter.com/kramer_bo/status/1220132362316472320,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-01-31 since:2020-01-06,@kramer_bo,Bo Kramer,"Dad,Husband, RT, RN, First Responder.. Registered democrat for 20 years TURNED REPUBLICAN and I support TRUMP!🇺🇸",Identified ,10/19,823,382,"La Crescenta-Montrose, CA","These people really trying to blame everything on Marcos.. and Martial Law... where in fact it is ninoy aquino, joma sison and the oligarchs are the one who planned and finance the bombing in Plaza Miranda..alam na ng mga Filipino kung sino kayo...!","How many people real trying to blame everything on Marcos.. and martial law... where in fact it is ninoy aiquity, Joma Sison and the Oligarchs are the one who planned and finance the bomber in plaza miranda. Who are you...!",Quote Retweet,"Jan 23, 2020",,Rational,1,,1,0,,,,,,
00-13,30/12/99 21:33:43,https://twitter.com/PManejr/status/1232315503923695617,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-02-28 since:2020-02-01,@PManejr,Per P. Manejr,"Dad,Husband, RT, RN, First Responder.. Registered democrat for 20 years TURNED REPUBLICAN and I support TRUMP!🇺🇸",Identified,02/12,1060,136,,Ninoy bombed you at Plaza Miranda with his commie friends lest you forget. #EDSA1986,Ninoy bombed you at Plaza Miranda with his commie friends lest you forget. #EDSA1986,Reply,"Feb 25,2020",,Rational,2,,0,0,,,,,,
00-14,30/12/99 21:33:53,https://twitter.com/JVMombay/status/1231705488594616320,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-02-28 since:2020-02-02,@JVMombay,John,,Anonymous,06/16,16,5,,"they are forcing teachers to teach our children that ninoy is a hero.  I am force to correct my children.

ninoy is not a hero!  why will you declare a traitor, communist supporter, and a convicted criminal a hero?","they are forcing teachers to teach our children that ninoy is a hero.  I am force to correct my children.

ninoy is not a hero!  why will you declare a traitor, communist supporter, and a convicted criminal a hero?",Reply,"Feb 24, 2020",,Rational,15,,10,0,,,,,,
00-15,30/12/99 21:34:10,https://twitter.com/iskonglasalista/status/1226730761677467648,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-02-28 since:2020-02-03,@iskonglasalista,Benedict Exconde,Agricultural Economist. University Lecturer. Communicator. Commentator. Dog parent to Jingle.,Identified,04/09,2568,6097,Singapore,"Communists siding with and defending the oligarchs. Amazing, isn't it? Well, that has been the case since Ninoy Aquino helped in forming the CPP-NPA-NDF at Hacienda Luisita many years ago.

http://dwiz882am.com/index.php/pamahalaan-desperado-nang-patahimikin-ang-media-nujp/","Communists siding with and defending the oligarchs. Amazing, isn't it? Well, that has been the case since Ninoy Aquino helped in forming the CPP-NPA-NDF at Hacienda Luisita many years ago.

http://dwiz882am.com/index.php/pamahalaan-desperado-nang-patahimikin-ang-media-nujp/",Text,"Feb 10, 2020",,Rational,64,,26,0,,,,,,
00-16,30/12/99 21:39:25,https://twitter.com/krameoj2/status/1234634447204405248,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-03-31 since:2020-03-01,@krameoj2,krameoj,"into driving agit, audio, basketball at mahaba habang kwentuhan... anything and everything under the sun",Anonymous,06/18,481,432,"Rizal, Calabarzon","same as the people who replaced him... kya nga sila pinag huhuli at nag martial law. sample, Ninoy and commies caused the Plaza Miranda bombing....same same lng naman sila ... kya its my opinion, DU30 is very 1st PH pres in my lifetime who is genuinely for the ordinary pinoy...","same as the people who replaced him... kya nga sila pinag huhuli at nag martial law. sample, Ninoy and commies caused the Plaza Miranda bombing....same same lng naman sila ... kya its my opinion, DU30 is very 1st PH pres in my lifetime who is genuinely for the ordinary pinoy...",Reply,"Mar 3, 2020",,Rational,4,,2,0,,,,,,
00-17,30/12/99 21:39:35,https://twitter.com/Hyden007Toro/status/1234545999030423553,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-03-31 since:2020-03-02,@Hyden007Toro,Hyden Toro,Filipino Social Media Warrior ! Working for a better Philippines !,Anonymous,02/15,179,6,"Makati, Nueva Viscaya, RP","Ninoy Aquino, fake hero...political opportunist...NPA founder..","Ninoy Aquino, fake hero...political opportunist...NPA founder..",Reply,"Mar 3, 2020",,Rational,0,,0,0,,,,,,
00-18,30/12/99 21:39:59,https://twitter.com/hitman531ph/status/1236992869866418177,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-03-31 since:2020-03-03,@hitman531ph,The Hitman,,Anonymous,04/11,312,5405,Republic of the Philippines,"When will these Dilawan jerks realize that Ninoy Aquino and Joma Sison are the founders of the NPA? That they established it to bring down Marcos thru chaos and run for the 1972 election, which got pre-empted by Martial Law and the NPA morphed into a terrorist group.","When will these Dilawan jerks realize that Ninoy Aquino and Joma Sison are the founders of the NPA? That they established it to bring down Marcos thru chaos and run for the 1972 election, which got pre-empted by Martial Law and the NPA morphed into a terrorist group.",Reply,Mar 9 2020,,Rational,6,,1,0,,,,,,
00-19,30/12/99 21:40:13,https://twitter.com/Hyden007Toro/status/1234546125945888768,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-03-31 since:2020-03-04,@Hyden007Toro,Hyden Toro,Filipino Social Media Warrior ! Working for a better Philippines !,Anonymous,02/15,179,6,"Makati, Nueva Viscaya, RP","Ninoy Aquino, fake hero, NPA founder...","Ninoy Aquino, fake hero, NPA founder...",Reply,"Mar 3, 2020",,Rational,0,,0,0,,,,,,
00-20,30/12/99 21:41:06,https://twitter.com/ArianaCharice/status/1247914739604152320,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-04-30 since:2020-04-01,@ArianaCharice,◍ᴗ◍,,Anonymous,11/18,2229,1909,"Calabarzon, Republic of the Ph",Ninoy Aquino is a communist leader who wants to seize and lead the Philippines.,Ninoy Aquino is a communist leader who wants to seize and lead the Philippines.,Text/Thread,"Apr 8, 2020",,Rational,0,,0,0,,,,Tweet is part of a thread,,
00-21,30/12/99 21:41:16,https://twitter.com/Whatsupjess1/status/1246647641968009216,,"
Tan, Jedidiah",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-04-30 since:2020-04-02,@Whatsupjess1,Whatsupjess,Allow god to win ur battles 💚,Anonymous,04/20,127,3,Laguna,"NINOY AQUINO ISA A GREAT LEADER NG NPA 
MARCOS IS THE GREAT LEADER OF THE PHILIPINESS💖💖
 AND PRRD ALSO 🇵🇭👊🏻","Ninoy Aquino ISA, the great leader of NPA
Marcos is the Great Leader of the Philipnos💖💖
 and prrd also 🇵🇭👊🏻",Text,"Apr 5, 2020",,Rational,0,,0,0,,,,,,
00-22,30/12/99 21:41:35,https://twitter.com/gerrydeleo/status/1253660160536399872,,"
Tan, Jedidiah",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-04-30 since:2020-04-03,@gerrydeleo,gerry,The right to write..Exercising the right to express freedom..Debunk the lies....I am no troll..,Anonymous,01/20,414,533,,Ninoy Aquino was the co founder of the terrorist group the NPA..Then Cory Aquino weakened and neglected the AFP to strengthened their NPA that continued in the past three decades until the end of the BS Aquino presidency..,Ninoy Aquino was the co founder of the terrorist group the NPA..Then Cory Aquino weakened and neglected the AFP to strengthened their NPA that continued in the past three decades until the end of the BS Aquino presidency..,Reply,"Apr 24, 2020",,Rational,24,,1,2,,,,,,
00-23,30/12/99 21:42:20,https://twitter.com/jassyangeli/status/1251786879449493504,,"
Tan, Jedidiah",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-04-30 since:2020-04-04,@jassyangeli,Jassy Angeli,Reading makes me gorgeous.,Identified,02/14,185,57,,The yellows won’t really allow ML to stop insurgencies coz Ninoy Aquino was the founder of NPA. Since the time of Cory Aquino Philippines has spiraled down. We were even richer than SG and Korea in Marcos’ time. They copied his blueprint and advices. Pinas won’t be like this sana,The yellows won’t really allow ML to stop insurgencies coz Ninoy Aquino was the founder of NPA. Since the time of Cory Aquino Philippines has spiraled down. We were even richer than SG and Korea in Marcos’ time. They copied his blueprint and advices. Pinas won’t be like this sana,Reply,"Apr 19, 2020",,Rational,1,,0,0,,,,,,
00-24,30/12/99 21:42:41,https://twitter.com/nhoy2011/status/1251886577653071876,,"
Tan, Jedidiah",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-04-30 since:2020-04-05,@nhoy2011,Omac,,Anonymous,Sept 2017,175,21,"Teulon, Manitoba",Who created NPA? Ninoy Aquino bwahahahah,Who created NPA? Ninoy Aquino Bwahahahah,Reply,"Apr 19, 2020",,Emotional,0,,0,0,,,,,,
00-25,30/12/99 21:43:26,https://twitter.com/Whatsupjess1/status/1246645978750320640,,"
Tan, Jedidiah",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-04-30 since:2020-04-06,@Whatsupjess1,Whatsupjess,Allow god to win ur battles 💚,Anonymous,04/20,127,3,Laguna,pinag aralan pa namin yang NINOY AQUINO fuck hndi palaaaa Hero isang hari ng NPA fuck!!,we even learned that ninoy aquino fuck hndi palaaaa hero a king of NPA fuck !!,Text,"Apr 5, 2020",,Emotional,0,,0,0,,,,,,
00-26,30/12/99 21:43:38,https://twitter.com/jassyangeli/status/1251774116782157825,,"
Tan, Jedidiah",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-04-30 since:2020-04-07,@jassyangeli,Jassy Angeli,Reading makes me gorgeous.,Identified,02/14,185,57,,Sanay silang binibaby ng mga corrupt and disente kuno na politicians. Number 1 sumira sa Pinas and ignited communism Aquino family. Number 1 leader ng NPA Ninoy Aquino. Mga lahing abnoy!,They are accustomed to being bullied by corrupt and decent politicians. Number 1 Destroy Pinas and Ignited Communism Aquino Family. Number 1 leader of NPA Ninoy Aquino. Resources!,Reply,"Apr 19, 2020",,Emotional,3,,1,0,,,,,,
00-27,30/12/99 21:44:37,https://twitter.com/iskonglasalista/status/1261437995359457280,,"
Tan, Jedidiah",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-05-30 since:2020-05-01,@iskonglasalista,Benedict Exconde,Agricultural Economist. University Lecturer. Communicator. Commentator. Dog parent to Jingle.,Identified,04/09,2568,6097,Singapore,"The connection between the Communists and the political and economic oligarchs has always been there, dating back to the founding the CPP-NPA-NDF by Sison, Ninoy and Kumander Dante in the 1960's. They use each other to protect respective interests and ensure continuous hegemony.","The connection between the Communists and the political and economic oligarchs has always been there, dating back to the founding the CPP-NPA-NDF by Sison, Ninoy and Kumander Dante in the 1960's. They use each other to protect respective interests and ensure continuous hegemony.",Text,"May 16, 2020",,Rational,19,,3,0,,,,,,
00-28,30/12/99 21:45:03,https://twitter.com/JurisImmanuel/status/1266343981308231680,,"
Tan, Jedidiah",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-05-30 since:2020-05-02,@JurisImmanuel,Iya,"Happily Married! ❤️💚

You attack me with ad hominem nonsense by stalking my profile, YOU'LL BE REPORTED & BLOCKED! 💪🏼",Anonymous,09/01/15,446,551,Philippines,"So in short, ang nagdala ng communists/NPA dito sa Pinas ay mga aquino, sa pangunguna ni ninoy? #YesToABSCBNShutdown #Covid19","So in short, the communists/NPA brought here to Pinas were Aquinos, under Ninoy's leadership? #YestABSCBNSHUTDOWN #COVID19",Reply,"May 29, 2020",,Rational,0,,0,0,,,,,,
00-29,30/12/99 21:46:18,https://twitter.com/FilCitizenPH/status/1256673081428500483,,"
Tan, Jedidiah",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-05-30 since:2020-05-03,@FilCitizenPH,Gising Pilipinas - No to LP/NDF/CPP/NPA/Partylist,,Anonymous,08/14,47,50,,Yan ang legacy ni Ninoy ang pagtattayo ng komunista sa bansa. Nawala ang sabah dhil sa sknya at ang sca dhil kay noynoy. Tsk Kaya wala ng dahilan pra pabalikin sa kapangyarihan ang mga dilawan na yan. Dilawan-CPP-NDF-NPA-ABSCBN-OLIGARKO-RAPPLER = PAGHIHIRAP NG PILIPINAS! Wakasan!,This is Ninoy's legacy of communist buildings in the country. Sabah dhil lost in sknya and the sca dhil to noynoy. Tsk so there is no reason for those yellow ones to return to power. Yellow-CPP-NDF-NPA-ABSCBN-oligarch-Rappler = Philippine suffering! Wahasan!,Reply,"May 3, 2020",,Rational,2,,1,0,,,,,,
00-30,30/12/99 21:46:34,https://twitter.com/H4L0H4L0/status/1260075495955169281,,"
Tan, Jedidiah",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-05-30 since:2020-05-04,@H4L0H4L0,Harold Olympia,,Identified,09/11,61,10,,Tama yan. Ubusin na mga NPA na yan. Yan ang legacy ni Ninoy Aquino.,That's correct. Eat those NPAs. That's the legacy of Ninoy Aquino.,Reply,"May 12, 2020",,Emotional,0,,0,0,,,,,,
00-31,30/12/99 21:47:08,https://twitter.com/AnlaboTsong/status/1261366389861842945,,"
Tan, Jedidiah",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-05-30 since:2020-05-05,@AnlaboTsong,Anlabo Tsong™,"In war, you can only be killed once, but in politics, many times. #AyawSaDilaw #UnitedDDS #WeAreDuterte #Duterte #BBMSara #Uniteam #CocoyGate",Anonymous,02/12,575,13900,We're everywhere and nowhere.,"THE Yellows’ martyr Benigno ‘Ninoy’ Aquino, Jr. was crucial in the founding and growth of the Communist Party of the Philippines and the New People’s Army (CPP-NPA). https://facebook.com/1318300334921993/posts/3016642818421061?sfns=mo","THE Yellows’ martyr Benigno ‘Ninoy’ Aquino, Jr. was crucial in the founding and growth of the Communist Party of the Philippines and the New People’s Army (CPP-NPA). https://facebook.com/1318300334921993/posts/3016642818421061?sfns=mo",Text,"May 16, 2020",,Rational,1,,0,0,,,,,,
